"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
2.5 200 "EXP" 0.2 43 308 "LIN" FALSE ""
1.3 20 "EXP" 0.1 78 309 "EXP" FALSE ""
0.1 200 "LIN" 0.1 39 310 "LIN" FALSE ""
0.9 40 "LIN" 0.2 61 311 "LIN" FALSE ""
0.9 80 "LIN" 0 42 312 "LIN" FALSE ""
2 100 "EXP" 0 42 313 "EXP" FALSE ""
1.5 200 "EXP" 0.2 8 314 "EXP" FALSE ""
0.9 80 "LIN" 0 49 315 "LIN" FALSE ""
0.5 40 "LIN" 0.1 90 316 "LIN" FALSE ""
0.9 80 "LIN" 0.1 69 317 "LIN" FALSE ""
0.5 40 "EXP" 0.1 14 318 "EXP" FALSE ""
0.1 60 "EXP" 0.2 87 319 "EXP" FALSE ""
1.3 20 "LIN" 0 95 320 "LIN" FALSE ""
0.1 100 "LIN" 0 89 321 "LIN" FALSE ""
1.3 60 "LIN" 0 67 322 "LIN" FALSE ""
2.5 80 "EXP" 0.2 98 323 "LIN" FALSE ""
0.1 80 "LIN" 0.2 32 324 "LIN" FALSE ""
1.5 100 "EXP" 0.2 62 325 "EXP" FALSE ""
0.1 200 "EXP" 0 69 326 "EXP" FALSE ""
1.3 80 "EXP" 0.2 46 327 "EXP" FALSE ""
1.3 40 "LIN" 0 18 328 "LIN" FALSE ""
0.1 40 "EXP" 0.2 20 329 "EXP" FALSE ""
0.9 60 "LIN" 0.1 89 330 "LIN" FALSE ""
2.5 60 "EXP" 0.2 32 331 "EXP" FALSE ""
0.9 60 "EXP" 0.2 16 332 "EXP" FALSE ""
0.1 100 "LIN" 0.1 44 333 "LIN" FALSE ""
1.3 80 "LIN" 0.1 53 334 "LIN" FALSE ""
0.9 100 "LIN" 0.2 63 335 "LIN" FALSE ""
2 80 "EXP" 0.1 5 336 "EXP" FALSE ""
0.5 40 "LIN" 0.1 94 337 "LIN" FALSE ""
2 200 "LIN" 0.2 25 338 "LIN" FALSE ""
1.3 80 "EXP" 0.1 57 339 "LIN" FALSE ""
1.5 80 "LIN" 0.2 10 340 "LIN" FALSE ""
1.3 200 "EXP" 0.2 79 341 "EXP" FALSE ""
2.5 100 "LIN" 0 69 342 "LIN" FALSE ""
1.5 60 "LIN" 0.2 47 343 "LIN" FALSE ""
2 80 "EXP" 0 55 344 "EXP" FALSE ""
0.1 60 "LIN" 0 95 345 "LIN" FALSE ""
0.9 60 "LIN" 0.2 53 346 "LIN" FALSE ""
2 200 "EXP" 0.2 72 347 "LIN" FALSE ""
